,count
Glenne Headly,12
Melanie Lynskey,12
Topher Grace,12
Robert Forster,12
Eric Stoltz,12
Debra Winger,12
Dominic West,12
Camilla Belle,12
Goran Visnjic,12
Anthony Anderson,12
Gabriel Macht,12
Kate Mara,12
JoBeth Williams,12
Peter Gallagher,12
Mike Vogel,12
Dennis Haysbert,12
Burgess Meredith,12
Romola Garai,12
Thomas Dekker,12
Ethan Embry,12
Anthony Edwards,12
Gene Wilder,12
Ryan Kwanten,12
Matthew Goode,12
Lou Diamond Phillips,12
Megan Fox,12
Rupert Everett,12
James D'Arcy,12
Aaron Taylor-Johnson,12
Robert Prosky,12
Abbie Cornish,12
Paul Dano,12
Jamie Chung,12
Linda Fiorentino,12
50 Cent,12
Ashley Olsen,12
Lou Taylor Pucci,12
Maggie Grace,12
Justin Timberlake,12
Jeffrey Wright,12
Courteney Cox,12
Cliff Curtis,12
Tony Shalhoub,12
Stephen Dillane,11
Tim Matheson,11
Peter Weller,11
Marion Cotillard,11
Rosemarie DeWitt,11
Pat Hingle,11
Leonard Nimoy,11
Judge Reinhold,11
Frances Fisher,11
Carl Weathers,11
Richard Burton,11
Luke Goss,11
Carol Kane,11
Shannyn Sossamon,11
Harry Connick Jr.,11
Daniel BrÃ¼hl,11
TÃ©a Leoni,11
Jada Pinkett Smith,11
Joss Ackland,11
Sean Pertwee,11
Janeane Garofalo,11
Michael Ealy,11
Ali Larter,11
Alice Eve,11
Lauren Graham,11
Javier Bardem,11
Jennifer Beals,11
Mekhi Phifer,11
Dominic Cooper,11
Karen Black,11
Penelope Ann Miller,11
Scott Adkins,11
Lambert Wilson,11
Garrett Hedlund,11
Danny McBride,11
Cole Hauser,11
Jeffrey Combs,11
Wallace Shawn,11
Henry Fonda,11
Karl Malden,11
Beverly D'Angelo,11
America Ferrera,11
William Forsythe,11
Hal Holbrook,11
William Fichtner,11
Carey Mulligan,11
Eva Green,11
Corey Feldman,11
Ted Danson,11
Madonna,11
Michael McKean,11
Tyrese Gibson,11
Kathleen Barr,11
Zoe Kazan,11
Powers Boothe,11
Cynthia Nixon,11
David Paymer,11
Rosanna Arquette,11
Henry Thomas,11
Chris Sarandon,11
Rhona Mitra,11
Anna Friel,11
Kim Cattrall,11
Jack Thompson,11
Patrick Dempsey,11
Blythe Danner,11
Jason Patric,11
Elizabeth Olsen,11
James Brolin,11
D. B. Sweeney,11
Mathieu Amalric,11
Barbra Streisand,11
Brenda Blethyn,11
Kenneth Williams,11
Rowan Atkinson,11
Jimmy Bennett,11
Catherine Deneuve,11
Richard Attenborough,11
Haley Joel Osment,11
Tony Todd,11
Armand Assante,11
John Mahoney,11
Rob Corddry,11
Edward Herrmann,11
Gaby Hoffmann,11
Olympia Dukakis,11
Michael York,11
Ben Cross,11
Jon Hamm,11
Dane Cook,11
Paula Patton,11
Brooke Shields,11
Pam Grier,11
Nathan Fillion,11
John DiMaggio,11
William Atherton,11
Barry Pepper,11
Audrey Hepburn,11
Ann-Margret,11
Leelee Sobieski,11
Brittany Snow,11
Claire Forlani,11
Samantha Mathis,11
Gemma Arterton,11
Stephen Fry,11
Olivia Thirlby,11
Sean Young,11
Lauren Holly,11
Oscar Isaac,11
Taye Diggs,11
Liam Hemsworth,11
Bonnie Hunt,11
Peter Facinelli,11
Jane Lynch,11
Colin Hanks,10
Rob Paulsen,10
Paul McCartney,10
Mos Def,10
Lily Tomlin,10
Robin Tunney,10
Brie Larson,10
Scott Bakula,10
Charlotte Gainsbourg,10
Alan Tudyk,10
Chris Pratt,10
Nicholas Hoult,10
Warwick Davis,10
Sacha Baron Cohen,10
Lochlyn Munro,10
Jonny Lee Miller,10
Tara Reid,10
Sharlto Copley,10
Hailee Steinfeld,10
Norman Reedus,10
Monica Bellucci,10
Embeth Davidtz,10
Jason Flemyng,10
Mark Webber,10
Connie Nielsen,10
Bruce Boxleitner,10
David Schwimmer,10
Jason Scott Lee,10
Meagan Good,10
Katee Sackhoff,10
Sid James,10
Charles Hawtrey,10
Joan Sims,10
Harold Perrineau,10
George Lopez,10
Christopher Eccleston,10
Burt Young,10
Louis C.K.,10
Greta Gerwig,10
Gregory Peck,10
Macaulay Culkin,10
Freddie Highmore,10
Candice Bergen,10
Sarah Silverman,10
Lukas Haas,10
Robert Carradine,10
Scoot McNairy,10
John Krasinski,10
Victor Garber,10
Donal Logue,10
Emily Browning,10
Judd Nelson,10
Billy Burke,10
Breckin Meyer,10
Christina Hendricks,10
Lake Bell,10
Justin Bartha,10
Rose McGowan,10
Bob Gunton,10
Briana Evigan,10
Dee Bradley Baker,10
Rainn Wilson,10
Kyle MacLachlan,10
Diego Luna,10
Noah Taylor,10
Jordana Brewster,10
Gabrielle Union,10
Milo Ventimiglia,10
Bill Moseley,10
Clea DuVall,10
AnnaSophia Robb,10
Bryan Brown,10
Timothy Dalton,10
Bruce Payne,10
Kelly Macdonald,10
Edward James Olmos,10
Armin Mueller-Stahl,10
Ben Whishaw,10
John Hawkes,10
Donald Faison,10
Jennifer Coolidge,10
William Baldwin,10
Annabella Sciorra,10
Sean Patrick Flanery,10
George Carlin,10
Joan Plowright,10
Tobin Bell,10
Nick Stahl,10
Rebecca De Mornay,10
Richard Chamberlain,10
Kyle Gallner,10
David Wenham,10
Colm Feore,10
Stockard Channing,10
Tim Blake Nelson,10
Imelda Staunton,10
Lizzy Caplan,10
Robert Shaw,10
Richard Pryor,10
Geoffrey Lewis,10
Jennifer Tilly,10
Rory Culkin,10
GeneviÃ¨ve Bujold,10
Sanaa Lathan,10
Jamie Kennedy,10
Jodi Benson,10
Olga Kurylenko,10
Eliza Dushku,10
Kelly Hu,10
Emmanuelle Chriqui,10
C. Thomas Howell,10
Jeremy Sisto,10
Deborah Kara Unger,10
Lin Shaye,10
Cliff Robertson,10
Ice-T,10
Orlando Jones,10
Ashley Greene,10
Melissa George,10
Linda Hamilton,10
Mario Van Peebles,10
Kelsey Grammer,10
Dean Cain,10
Madeline Kahn,10
Kal Penn,10
Casper Van Dien,10
Mickey Rooney,10
Arielle Kebbel,10
Johnathon Schaech,10
Linda Cardellini,10
Russell Brand,10
TchÃ©ky Karyo,10
Saffron Burrows,9
Josh Gad,9
Jake Busey,9
Sophie Marceau,9
Don Rickles,9
Alexander SkarsgÃ¥rd,9
Olivia d'Abo,9
Kenneth Mars,9
Alicia Witt,9
Amanda Plummer,9
Aubrey Plaza,9
Devon Bostick,9
Shelley Long,9
Kelly Reilly,9
Angela Lansbury,9
Leonor Varela,9
Edward Burns,9
Emmy Rossum,9
Teri Polo,9
Danielle Panabaker,9
Richard Crenna,9
Jared Harris,9
Noel Clarke,9
Michael Parks,9
Lolita Davidovich,9
Bernie Mac,9
Diedrich Bader,9
Shawn Ashmore,9
Clark Gregg,9
Paul Sorvino,9
Louise Fletcher,9
David Hyde Pierce,9
Tim Daly,9
Tom Hiddleston,9
Ray Walston,9
Anthony Michael Hall,9
Isaiah Washington,9
Katharine Isabelle,9
George Takei,9
Miley Cyrus,9
Kevin Michael Richardson,9
Chris Tucker,9
Joey Lauren Adams,9
Krysten Ritter,9
Sarah Gadon,9
Keenan Wynn,9
Shelley Duvall,9
Kellan Lutz,9
Stephen Baldwin,9
Til Schweiger,9
Christopher Reeve,9
Joanne Whalley,9
Chi McBride,9
David Alan Grier,9
Michael Murphy,9
Alice Krige,9
Martin Starr,9
Lacey Chabert,9
Nick Frost,9
Debra Messing,9
Anne Archer,9
Kathy Baker,9
Mel Brooks,9
Dave Chappelle,9
Harland Williams,9
Nancy Travis,9
Rachel Griffiths,9
Lara Flynn Boyle,9
Xander Berkeley,9
Sophia Loren,9
Kieran Culkin,9
Larry the Cable Guy,9
Arnold Vosloo,9
MÃ©lanie Laurent,9
Rade Serbedzija,9
John Saxon,9
Kate Nelligan,9
Lynn Whitfield,9
Jason London,9
Ian McNeice,9
Aaron Paul,9
Patton Oswalt,9
Lena Olin,9
Bailee Madison,9
Jason Sudeikis,9
Kim Coates,9
Kathryn Hahn,9
Anthony Perkins,9
Ty Burrell,9
Kane Hodder,9
Akshay Kumar,9
Om Puri,9
Bridget Moynahan,9
Brady Corbet,9
Raven-SymonÃ©,9
Ed Asner,9
Joy Bryant,9
Eva Longoria,9
Craig Sheffer,9
Miguel Ferrer,9
Kat Dennings,9
Ben Mendelsohn,9
Willie Nelson,9
Jeffrey Jones,9
Jack Palance,9
Rod Steiger,9
Ben Chaplin,9
Ken Jeong,9
Max Minghella,9
Alyssa Milano,9
Natascha McElhone,9
Vinessa Shaw,9
Michael Lerner,9
Miranda Otto,9
Josh Peck,9
Richard Masur,9
Mia Kirshner,9
Columbus Short,9
Joel David Moore,9
Taraji P. Henson,9
Natasha Henstridge,9
Charlie Hunnam,9
Gael GarcÃ­a Bernal,9
Laurence Olivier,9
Chris O'Dowd,9
Corbin Bernsen,9
Spencer Breslin,9
Temuera Morrison,9
Albert Dupontel,9
Dean Stockwell,9
Andrew McCarthy,9
Ringo Starr,9
Gregg Henry,9
Molly Ringwald,9
River Phoenix,9
Tony Goldwyn,9
Piper Laurie,9
Michael Pitt,9
John Savage,9
Miles Teller,9
Taylor Lautner,9
Jacki Weaver,9
Ed Helms,9
Joely Richardson,9
Omar Epps,9
Sienna Guillory,9
Billy West,9
Sean Faris,9
Seymour Cassel,9
Jennifer Ehle,9
Leighton Meester,9
Snoop Dogg,9
Chris Messina,9
Andrew Garfield,9
Aidan Gillen,9
Amy Ryan,9
Scout Taylor-Compton,8
Shiloh Fernandez,8
Dev Patel,8
Seth MacFarlane,8
Simon Baker,8
Chris Marquette,8
Taryn Manning,8
Frankie Muniz,8
Cheryl Hines,8
Jon Heder,8
Frank Whaley,8
Kevin Corrigan,8
Josh Charles,8
Stephen Graham,8
JÃ¼rgen Prochnow,8
Dave Franco,8
Matt Smith,8
Debbie Reynolds,8
Mark Duplass,8
Phoebe Cates,8
Sarah Bolger,8
Nigel Hawthorne,8
Marley Shelton,8
Scatman Crothers,8
Raymond J. Barry,8
Tamsin Egerton,8
John Lennon,8
Jake Johnson,8
Eric Christian Olsen,8
George Harrison,8
Guillaume Canet,8
Rae Dawn Chong,8
Karel Roden,8
Iain Glen,8
Jeremy Irvine,8
Nick Cannon,8
Stuart Townsend,8
Xavier Samuel,8
Emmanuelle Vaugier,8
Nancy Allen,8
Kodi Smit-McPhee,8
Clovis Cornillac,8
Barry Bostwick,8
Tina Fey,8
Agnes Bruckner,8
Mako,8
R. Lee Ermey,8
RaÃºl JuliÃ¡,8
Matthias Schoenaerts,8
Toby Kebbell,8
James Le Gros,8
Paul Reubens,8
Drake Bell,8
Dana Delany,8
Andre Braugher,8
Richard Roxburgh,8
Ally Sheedy,8
Aamir Khan,8
Paz Vega,8
Lorraine Bracco,8
Chad Michael Murray,8
Corbin Bleu,8
Andy Dick,8
Henry Silva,8
Jay Mohr,8
Rooney Mara,8
Ted Levine,8
Bradley Whitford,8
Stephen Campbell Moore,8
Peter Ustinov,8
Bruno Kirby,8
Ginnifer Goodwin,8
