,count
Robert Mulligan,4
Christopher Miller,4
Tom Dey,4
Nicole Holofcener,4
Jim Stenstrum,4
Alex Proyas,4
Gary Winick,4
Lee Daniels,4
Mario Van Peebles,4
VÃ­ctor GarcÃ­a,4
Peter Chung,4
Henry Selick,4
Brian Taylor,4
Warren Beatty,4
Clive Donner,4
Stuart Rosenberg,4
Robert Clouse,4
Samuel Fuller,4
Lynn Shelton,4
George Clooney,4
Jean-Marc VallÃ©e,4
Will Gluck,4
Don Roos,4
Marty Callner,4
Kevin Deters,4
James Wong,4
Julie Delpy,4
Chris Rock,4
Jared Cohn,4
Alexandre Aja,4
William Kaufman,4
Adam Gierasch,4
David Bowers,4
Shekhar Kapur,4
Brian Gilbert,4
Joe Swanberg,4
Christopher Ray,4
Tom McGrath,4
Ben Stassen,4
Tony Goldwyn,4
Albert Hughes,4
Bill Duke,4
Tsui Hark,4
Randall Wallace,4
Tom Tykwer,4
Joe Roth,4
Frank Henenlotter,4
John Putch,4
David Lean,4
Thom Eberhardt,4
Nick Castle,4
Ethan Spaulding,4
Kevin Hooks,4
Michael J. Bassett,4
Greg Richardson,4
Gurinder Chadha,4
Chris Fisher,4
Peter Medak,4
Paul Andrew Williams,4
Emile Ardolino,4
Liz Garbus,4
Yves Simoneau,4
Ted Kotcheff,4
Sebastian Gutierrez,4
Kelly Reichardt,4
Robert Townsend,4
Jonas Ã…kerlund,4
Jared Hess,4
Craig Gillespie,4
Miguel Arteta,4
Jonathan Mostow,4
Mimi Leder,4
"Pat O""Connor",4
Jamie Blanks,4
Jim Mickle,4
John McNaughton,4
Terry Zwigoff,4
Ringo Lam,4
Ellory Elkayem,4
Wayne Kramer,4
Greg Mottola,4
Mike Judge,4
Anand Tucker,4
Ching Siu-Tung,4
Roger Allers,4
Pete Docter,4
Olivier Megaton,4
Rick Famuyiwa,4
Chris Buck,4
Sean Anders,4
Daisy von Scherler Mayer,4
Anne K. Black,4
George Pollock,4
Otto Preminger,4
Brian A Miller,4
Henry Hathaway,4
Terence Young,4
Pierre Morel,4
Joe Lynch,4
Breck Eisner,4
Neill Blomkamp,4
Andrew Stanton,4
Gordon Hessler,4
Rob Letterman,4
Josef Rusnak,4
Ãlex de la Iglesia,4
Dean Parisot,4
Trey Parker,4
Denis Villeneuve,3
Fernando Trueba,3
Tim McCanlies,3
Jake West,3
Jeff Wadlow,3
